R2UniqueID()					used
R2Delete()		delete			used
R2Copy()					not used
R2Symbol()		symbol			used
R2NOP()			nop			used
R2Strip()		strip			not used
R2Footnote()		footnote		used
R2Caps()		caps			used
R2SCaps()		scaps			used
R2Chapter()		chapter			not used
R2Define()		define			not used
R2Newpage()		newpage			used
R2Stupidstrip()		stupidstrip		not used
R2Verbatim()		verbatim		not used
R2Blankspace()		blankspace		not used
R2Par()			par			used
R2FontDefine()		fontdefine		used
R2StyleDefine()		styledefine		not used
R2Margl()		margl			used
R2Margr()		margr			used
R2Font()		font			used
R2StyleSheet()		stylesheet		used
R2Plain()		plain			used
R2Size()		size			used
R2Index()		index			used
R2Hidden()		hidden			used
R2Header()		header			used
R2Footer()		footer			used
R2Field()		field			used
