@type xyrt
0.396465 0.840485 0.200000
0.353336 0.446583 0.200000
0.318693 0.886428 0.200000
0.015583 0.584090 0.200000
0.159369 0.383716 0.200000
0.691004 0.058859 0.200000
0.899854 0.163546 0.200000
0.159072 0.533065 0.200000
0.604144 0.582699 0.200000
0.269971 0.390478 0.200000
0.293401 0.742377 0.200000
0.298526 0.075538 0.200000
0.404983 0.857378 0.200000
0.941968 0.662831 0.200000
0.846476 0.002755 0.200000
0.462379 0.532596 0.200000
0.787877 0.265612 0.200000
0.982752 0.306785 0.200000
0.600855 0.608716 0.200000
0.212439 0.885895 0.200000
0.304657 0.151860 0.200000
0.337662 0.387477 0.200000
0.643610 0.753553 0.200000
0.603616 0.531628 0.200000
0.459360 0.652488 0.200000
0.327181 0.946370 0.200000
0.368040 0.943890 0.200000
0.007428 0.516600 0.200000
0.272771 0.024299 0.200000
0.591955 0.204964 0.200000
0.877693 0.059369 0.200000
0.260843 0.302829 0.200000
0.891495 0.498198 0.200000
0.710026 0.286414 0.200000
0.864924 0.675541 0.200000
0.458490 0.959636 0.200000
0.774675 0.376551 0.200000
0.228639 0.354534 0.200000
0.300318 0.669766 0.200000
0.718967 0.565955 0.200000
0.824465 0.390612 0.200000
0.818766 0.844008 0.200000
0.180468 0.943396 0.200000
0.424887 0.520666 0.200000
0.065644 0.913508 0.200000
0.882585 0.761364 0.200000
0.398923 0.688257 0.200000
0.761548 0.405009 0.200000
0.125251 0.484634 0.200000
0.222463 0.873121 0.200000
0.528822 0.001414 0.200000
0.860514 0.018697 0.200000
0.814892 0.242884 0.200000
0.314572 0.965733 0.200000
0.935560 0.809432 0.200000
0.492109 0.220136 0.200000
0.576354 0.289029 0.200000
0.321067 0.261323 0.200000
0.173988 0.001817 0.200000
0.044784 0.241175 0.200000
0.415451 0.701625 0.200000
0.221846 0.503910 0.200000
0.067030 0.393063 0.200000
0.479477 0.218142 0.200000
0.219511 0.916203 0.200000
0.350222 0.192694 0.200000
0.211235 0.633682 0.200000
0.053565 0.783411 0.200000
0.030674 0.444097 0.200000
0.176413 0.932180 0.200000
0.909648 0.472845 0.200000
0.871695 0.695567 0.200000
0.930190 0.455091 0.200000
0.398567 0.893304 0.200000
0.693547 0.838734 0.200000
0.739699 0.651270 0.200000
0.678154 0.577212 0.200000
0.273118 0.935388 0.200000
0.661939 0.047413 0.200000
0.373038 0.618195 0.200000
0.148628 0.377306 0.200000
0.644591 0.025688 0.200000
0.841381 0.077019 0.200000
0.742634 0.255986 0.200000
0.901844 0.377648 0.200000
0.319530 0.211435 0.200000
0.648532 0.251315 0.200000
0.228644 0.250922 0.200000
0.943221 0.136715 0.200000
0.270061 0.548707 0.200000
0.324021 0.865080 0.200000
0.296703 0.680059 0.200000
0.833147 0.876308 0.200000
0.649665 0.073115 0.200000
0.898547 0.253581 0.200000
0.611319 0.841890 0.200000
0.832019 0.372587 0.200000
0.757048 0.109215 0.200000
0.850812 0.559329 0.200000
0.857580 0.343097 0.200000
-0.195756 1.772239 0.200000
-0.431242 1.625442 0.200000
-0.602505 1.441946 0.200000
-0.720248 1.295149 0.200000
-0.741656 1.148353 0.200000
-0.763064 1.074954 0.200000
-0.677433 0.854759 0.200000
-0.516874 0.561165 0.200000
-0.420538 0.389902 0.200000
-0.302795 0.230873 0.200000
-0.163644 0.059610 0.200000
-0.003085 -0.099420 0.200000
0.168178 -0.172819 0.200000
0.296625 -0.246217 0.200000
0.403665 -0.295149 0.200000
0.521408 -0.282916 0.200000
0.639151 -0.258450 0.200000
0.756894 -0.197285 0.200000
0.863934 -0.123886 0.200000
0.928157 -0.001556 0.200000
0.928157 0.169707 0.200000
0.885342 0.279805 0.200000
0.831822 0.414369 0.200000
0.821118 0.610098 0.200000
0.756894 0.830293 0.200000
0.853230 1.050488 0.200000
0.960269 1.123886 0.200000
1.045901 1.148353 0.200000
1.131532 1.160586 0.200000
1.259979 1.209518 0.200000
1.356315 1.319615 0.200000
1.602505 1.674374 0.200000
1.591801 1.821171 0.200000
1.506170 2.139231 0.200000
1.420538 2.212629 0.200000
1.292091 2.188163 0.200000
1.270683 2.041366 0.200000
1.259979 1.870103 0.200000
1.185052 1.747773 0.200000
1.013789 1.723307 0.200000
0.853230 1.723307 0.200000
0.681967 1.796705 0.200000
0.542816 1.955735 0.200000
0.457184 2.114765 0.200000
0.318033 2.224862 0.200000
0.232402 2.065832 0.200000
0.253810 1.894570 0.200000
0.221698 1.747773 0.200000
0.146770 1.625442 0.200000
0.050435 1.527578 0.200000
-0.024493 1.454179 0.200000
-0.142236 1.380781 0.200000
-0.217164 1.221751 0.200000
-0.131532 0.989323 0.200000
-0.024493 0.818060 0.200000
-0.206460 0.781361 0.200000
-0.345611 0.964857 0.200000
-0.420538 1.185052 0.200000
-0.377723 1.356315 0.200000
-0.292091 1.478645 0.200000
-0.217164 1.552044 0.200000
